icao,lon
EPIR,18.3306
EPKK,19.7848
EPKT,19.0807
EPLB,22.7135
EPLL,19.3981
EPLY,19.1438
EPMO,20.6518
EPPO,16.8234
EPRA,21.2147
EPRZ,22.0242
EPSC,14.9022
EPSN,15.8263
EPSY,20.9377
EPTM,20.0978
EPWA,20.9671
EPWR,16.8821
EPZG,15.7986
ESCF,15.5224
ESDF,15.265
ESFR,13.0532
ESGG,12.2798
ESGJ,14.0687
ESGP,11.8704
ESGR,13.9727
ESGT,12.345
ESKK,14.4959
ESKM,14.5114
ESKN,16.9115
ESKS,12.8335
ESMK,14.0855
ESMQ,16.2876
ESMS,13.3763
ESMT,12.8202
ESMX,14.728
ESNG,20.8146
ESNK,17.7689
ESNL,18.7162
ESNN,17.4439
ESNO,18.99
ESNQ,20.3368
ESNS,21.0769
ESNU,20.2828
ESNV,16.8336
ESNX,19.2819
ESNY,17.0991
ESNZ,14.5042
ESOE,15.038
ESOK,13.3374
ESOW,16.6336
ESPA,22.122
ESSA,17.9288
ESSB,17.9417
ESSD,15.5152
ESSL,15.6845
ESSP,16.2506
ESST,12.9913
ESSU,16.7084
ESSV,18.3462
ESTA,12.8471
ESUD,17.6966
ETAD,6.6984
ETAR,7.6003
ETHB,9.0822
ETHC,10.0221
ETHF,9.286
ETHL,9.91
ETHN,9.9567
ETHS,10.1858
ETIC,11.9402
ETIH,11.8361
ETMN,8.6592
ETND,8.3422
ETNG,6.0424
ETNH,9.5382
ETNL,12.2783
ETNN,6.6582
ETNS,9.5163
ETNT,7.6673
ETNW,9.4272
ETOU,8.3254
ETSB,7.0633
ETSH,13.1677
ETSI,11.534
ETSL,10.8612
ETSN,11.2115
EVLA,21.0969
EVRA,23.9707
EYKA,24.0858
EYPA,21.0939
EYPP,24.4608
EYSA,23.395
EYSB,23.5581
EYVI,25.2858
FAAB,16.5333
FAAG,18.8139
FABE,27.2791
FABL,26.3024
FACT,18.6043
FAEL,27.8259
FAEO,29.9798
FAFB,27.9089
FAGC,28.1401
FAGG,22.3789
FAGM,28.1512
FAHR,29.1062
FAHS,31.0529
FAKD,26.718
FAKM,24.7649
FAKN,31.1053
FAKU,23.4119
FAKZ,17.094
FALA,27.9266
FALC,23.4391
FALE,31.1197
FALW,18.1603
FALY,29.7497
FAMD,31.5441
FAMG,30.343
FAMM,25.548
FAMS,26.909
FAMU,32.0443
FANC,29.9769
FAOH,22.189
FAOR,28.2468
FAPE,25.6174
FAPG,23.3287
FAPH,31.1554
FAPI,29.4844
FAPJ,29.5218
FAPM,30.3987
FAPN,27.1734
FAPP,29.4586
FAPS,27.0819
FAQT,26.8822
FARB,32.0921
FARG,27.2711
FARS,19.9028
FASB,17.9396
